transaction_amount_inr,hour_of_day,merchant_category,card_type,card_present,distance_from_home_km,transactions_last_24h,avg_transaction_amount_inr,num_declined_last_30d,is_fraud
2489.82,12,Travel,,1,20.88,1,2214.25,0,0
5876.14,1,Gas,Mastercard,0,298.99,9,1122.44,5,1
7449.5,9,Online,Mastercard,1,38.83,4,1127.72,0,0
3650.38,18,Online,RuPay,1,1.49,3,1405.06,1,0
11798.87,7,Online,Mastercard,0,13.4,5,1165.97,0,0
695.65,2,Grocery,Visa,1,11.24,5,636.05,2,0
1827.1,9,Grocery,Visa,1,43.9,2,1913.48,0,0
1476.39,4,Online,Amex,1,16.28,4,1672.81,0,0
5273.69,11,Restaurant,Amex,1,5.65,3,960.05,0,0
829.17,17,Grocery,RuPay,1,10.31,1,1038.25,0,0
312.87,8,Travel,RuPay,1,35.11,3,973.35,1,0
1566.94,10,Entertainment,Visa,1,13.58,3,985.81,0,0
20516.16,19,Online,Mastercard,1,1.44,2,1940.63,1,0
5287.79,23,Electronics,RuPay,1,357.17,14,612.9,2,1
7275.55,11,Online,RuPay,1,0.42,4,,0,0
3145.36,10,Entertainment,Visa,1,5.89,1,972.57,0,0
2526.99,7,Gas,Mastercard,1,14.14,2,3785.55,0,0
17121.22,23,Healthcare,Visa,1,27.27,6,2210.97,1,1
9608.35,10,Restaurant,Amex,1,8.44,4,526.62,0,0
1492.77,14,Utilities,RuPay,1,28.79,6,1732.19,0,0
1530.43,12,Online,RuPay,0,2.27,2,,0,0
895.64,1,Retail,Visa,1,4.42,3,1497.02,0,0
1602.49,23,Online,RuPay,0,3.99,0,4534.64,1,0
1941.84,14,Retail,RuPay,1,3.34,1,1575.97,1,0
316.82,9,Entertainment,Amex,1,34.01,1,1857.27,0,0
817430.38,11,Retail,Mastercard,1,11.32,0,814.23,0,0
1704.25,23,Restaurant,Mastercard,1,10.96,4,1004.68,0,0
8431.76,11,Gas,Mastercard,1,20.35,1,1895.81,0,0
1040.52,16,Restaurant,RuPay,1,6.68,2,3014.2,0,0
2344.62,14,Travel,Mastercard,1,7.28,1,1382.17,1,0
802.24,6,Grocery,Amex,1,11.07,7,1210.27,1,0
2378.2,14,Online,Mastercard,1,59.02,2,2317.61,1,0
1347.35,2,Restaurant,Visa,1,45.68,3,4686.16,0,0
2897.25,8,Grocery,Visa,1,17.25,1,1555.55,2,0
1303.62,18,Online,RuPay,0,6.43,5,1587.37,0,0
2032.77,10,Grocery,Mastercard,1,2.46,1,500,0,0
,18,Grocery,Visa,1,14.43,2,1620.08,0,0
7167.31,4,Electronics,Visa,1,30.18,6,5014.52,0,0
1939.73,8,Restaurant,Visa,1,24.01,4,1848.27,0,0
5017.31,10,Online,Visa,1,5.75,3,1336.62,0,0
11328.77,18,Online,RuPay,0,137.35,6,986.53,5,1
11204.94,17,Online,Mastercard,0,91.69,8,873.78,5,1
3743.39,7,Retail,Visa,1,12.13,6,3991.52,1,0
3707.91,5,Electronics,RuPay,1,6.41,0,1288.89,0,0
1038.07,15,Grocery,RuPay,1,15.33,1,871,1,0
2354.85,6,Gas,Mastercard,1,47.3,3,7025.72,2,0
2092.04,10,Electronics,Visa,1,26.62,2,2777.08,0,0
1751.37,15,Electronics,Visa,1,10.09,3,2286.68,0,0
2548.78,16,Restaurant,Visa,1,8.97,7,3548.47,1,0
3163.48,12,Healthcare,RuPay,1,2.73,4,1628.24,0,0
4323.07,18,Restaurant,Mastercard,1,4.72,2,1627.6,0,0
703.94,21,Utilities,Mastercard,1,12.24,5,972.78,0,0
1038.23,18,Healthcare,RuPay,1,4.05,4,1351.56,0,0
1898.6,12,Restaurant,Amex,1,1.18,2,1091,0,0
3548.32,12,Retail,RuPay,1,0.61,5,806.72,1,0
11323.15,17,Electronics,RuPay,1,67.4,1,2874.07,0,0
5683.1,20,Grocery,Mastercard,1,1.65,2,2185.7,0,0
3956.17,11,Grocery,Mastercard,1,6.87,5,2462.72,1,0
1263.35,11,Travel,RuPay,1,20.5,6,4575.87,1,0
1911.18,16,Restaurant,Mastercard,1,10.85,2,1192.11,1,0
618.98,13,Utilities,RuPay,1,20.02,5,7244,0,0
1615.65,9,Grocery,Visa,1,10.97,0,899,0,0
1810.19,17,Gas,Amex,1,,5,2204.59,2,0
2251,14,Retail,RuPay,1,8.13,5,2452.94,0,0
30992.6,14,Online,Mastercard,0,9.19,4,1182.26,2,1
3305.35,19,Grocery,RuPay,0,8.49,4,3161.52,1,0
4523.04,21,Electronics,Mastercard,1,53.22,2,1797.98,0,0
,3,Grocery,Mastercard,0,23.13,5,6372.03,1,0
589.64,20,Healthcare,Mastercard,1,19.4,3,606.98,0,0
1050.54,11,Travel,Amex,1,14.98,0,1426.71,0,0
10858.31,9,Online,RuPay,1,19.96,2,2009.38,0,0
1009.16,12,Gas,Visa,1,18.91,2,1340.07,0,0
1689.02,7,Entertainment,RuPay,1,28.37,3,1048.32,0,0
2087.19,17,Entertainment,Mastercard,1,6.54,3,4460.82,0,0
2426.03,7,Grocery,Mastercard,1,31.7,3,2413.88,0,0
3577.23,13,Retail,Visa,1,5.16,6,8263.56,0,0
5538.93,11,Grocery,Visa,0,47.74,3,2188.78,0,0
2778.12,12,Restaurant,Visa,1,3.69,5,1369.6,1,0
882.57,9,Grocery,Visa,1,26.01,1,897.87,0,0
4736.29,16,Retail,Mastercard,0,3.25,3,1851.61,0,0
1044.3,14,Grocery,Mastercard,0,13.87,2,7736.81,0,0
5000,16,Restaurant,Visa,1,224.67,7,1046.97,3,1
1387.66,10,Grocery,Mastercard,0,29.64,5,,1,0
5877.46,11,Online,Visa,1,22.3,3,2386.1,0,0
977.98,22,Restaurant,RuPay,1,45.33,4,4948.53,0,0
3017.05,19,Grocery,RuPay,1,0.77,2,657.65,0,0
18516.29,8,Travel,Visa,0,,12,696.55,4,1
4037.12,2,Entertainment,Visa,1,5.68,4,729.54,1,0
772.54,8,Travel,Mastercard,0,,3,3272.77,0,0
2406.95,15,Online,Mastercard,1,12.03,10,500,1,0
725.74,21,Utilities,RuPay,1,3.95,0,4047.82,0,0
2297.43,8,Retail,Visa,0,14.18,4,2405.71,1,0
2376.34,11,Grocery,Mastercard,1,30.94,4,2219.9,0,0
2878.96,18,Travel,Mastercard,1,9.29,0,682.18,0,0
1392.51,12,Online,Visa,0,3.28,8,2056.44,0,0
1519.58,9,Healthcare,Mastercard,0,10.45,2,1465.95,0,0
4364.48,10,Utilities,Mastercard,1,25.63,3,1664.97,0,0
6750.52,10,Travel,Mastercard,1,22.06,4,4651.52,0,0
4797.11,0,Online,Visa,1,5.77,3,723.52,1,0
4682.24,16,Online,,1,3.25,4,4343.31,1,0
1785.23,17,Travel,Visa,1,15.62,1,1712.61,,0
1478.88,14,Healthcare,Mastercard,1,8.63,4,1477.2,1,0
3700.93,17,Grocery,Visa,1,35.6,2,1577.05,1,0
2315.79,13,Grocery,RuPay,1,12.37,3,5051.88,0,0
3069.17,12,Grocery,RuPay,1,22.23,0,1044.72,1,0
951.61,7,Restaurant,Visa,1,11.05,5,1274.39,0,0
1897.75,16,Retail,RuPay,0,8.79,1,2003.02,0,0
4484.96,15,Entertainment,Mastercard,1,57.91,5,1034.37,0,0
692.26,7,Restaurant,RuPay,1,15.38,4,1569.95,0,0
648.75,13,Travel,RuPay,1,8.92,8,4225.93,0,0
3618.43,17,Restaurant,Visa,1,1.69,4,711.15,0,0
2119.49,4,Grocery,RuPay,1,58.19,1,785.64,0,0
5000,20,Electronics,Visa,0,362.57,8,505.22,2,1
3032.75,17,Gas,Mastercard,1,5364.28,6,978.14,0,0
5693.58,12,Grocery,RuPay,0,7,4,2724.79,0,0
5000,0,Electronics,Visa,0,42.85,13,805.09,0,1
2928.36,17,Gas,,1,25.1,5,2484.23,0,0
4735.45,22,Grocery,Visa,1,6.39,1,3266.01,0,0
1258.84,12,Grocery,RuPay,1,15.57,1,632.39,1,0
496.58,5,Online,Mastercard,1,12.45,2,2945.32,0,0
3265.73,13,Restaurant,Mastercard,1,9.42,1,928.16,1,0
367.54,13,Restaurant,Mastercard,1,42.29,2,515.95,1,0
5154.95,12,Restaurant,Amex,0,35.84,2,572.39,0,0
5000,20,Travel,Visa,0,31.6,10,1065.62,3,1
7543.35,10,Electronics,RuPay,0,21.4,2,1590.45,0,0
2002,19,Restaurant,RuPay,1,5.7,2,2057.83,0,0
6304.88,8,Grocery,Visa,0,10.38,2,665.13,1,0
4447.35,17,Online,RuPay,1,3.85,2,756.36,1,0
2790.1,5,Entertainment,Visa,1,12.27,5,1121.8,0,0
5766.45,15,Online,Visa,0,52.04,7,1052.52,1,1
3344.2,14,Grocery,RuPay,1,13.75,0,2791.13,0,0
2983.09,21,Online,Visa,0,41.67,4,2306.3,0,0
1318,14,Utilities,RuPay,0,52.77,1,1135.86,1,0
5000,1,Retail,Visa,0,234.41,16,500,1,1
676.47,10,Utilities,Amex,1,1.21,1,883.67,0,0
931.19,11,Online,RuPay,1,3.26,2,1710.66,0,0
2500.23,10,Restaurant,Amex,1,4.93,1,527.12,0,0
5000,3,Online,Mastercard,0,89.97,7,716.04,1,1
1894.91,16,Gas,RuPay,1,64.21,3,1343.45,1,0
5048.87,9,Entertainment,RuPay,1,12.7,1,2306.05,0,0
2793.68,15,Electronics,Visa,1,3.6,2,2036.91,0,0
2759.96,11,Grocery,Mastercard,1,4822.98,3,2017.38,1,0
3368.69,11,Online,Mastercard,1,5.08,1,1695.88,0,0
2278.25,15,Electronics,RuPay,1,31,2,783.89,1,0
1316.32,8,Grocery,Visa,1,8.11,5,3730.75,0,0
3714.69,14,Online,Visa,1,17.98,4,2856.72,0,0
8997.52,6,Online,Mastercard,1,8.78,2,1237.73,1,0
5000,7,Online,Visa,0,116.43,8,2886.49,4,1
27299.4,13,Travel,Mastercard,1,160.7,8,789.98,2,1
1287.68,22,Travel,Mastercard,1,8.96,1,1481.49,0,0
1477.21,9,Restaurant,Visa,1,10.01,4,1603.2,1,0
6986.07,9,Gas,Mastercard,1,53.47,2,,1,0
1855.4,14,Restaurant,Visa,1,21.4,3,1088.53,2,0
811.84,12,Grocery,Mastercard,1,4830.43,3,6230.29,0,0
438.91,0,Grocery,RuPay,1,21.21,4,,0,0
1992.33,6,Utilities,RuPay,1,76.63,2,1341.16,0,0
15549.41,10,Retail,Visa,0,15.45,3,1152.35,0,0
2666.19,8,Retail,Mastercard,1,1.38,4,1869.9,0,0
2415.16,11,Restaurant,Amex,0,17.16,2,1451.81,0,0
5154.56,2,Online,RuPay,0,70.67,9,734.78,2,1
1160.64,8,Grocery,Visa,1,2.93,3,2341.85,0,0
7497.76,20,Grocery,RuPay,1,22.18,3,5587.9,1,0
2368.24,22,Travel,Visa,1,9.87,1,4795.56,0,0
1986.87,11,Healthcare,Visa,0,6.29,3,1371.47,0,0
2202.02,13,Restaurant,Mastercard,1,8.71,6,1831.29,0,0
3301.86,2,Online,Mastercard,1,2.31,3,1728.74,0,0
1601.94,14,Healthcare,Visa,1,8.18,3,1459.98,,0
560.25,12,Healthcare,Mastercard,1,21.98,3,3020.84,1,0
2350.79,16,Retail,Visa,1,14.55,5,2329.46,0,0
1596.55,15,Grocery,Mastercard,1,11.54,4,949.55,0,0
3608.24,17,Healthcare,Mastercard,0,58.61,3,,0,0
2030.24,12,Gas,RuPay,1,7.64,2,1640.71,0,0
1019.38,17,Grocery,RuPay,0,18.26,4,2957.29,1,0
2244.18,14,Electronics,Visa,1,4.24,4,3943.94,0,0
3129.75,16,Online,Mastercard,1,26.64,1,2615.61,0,0
1222.84,20,Restaurant,RuPay,1,2.21,4,1139.64,0,0
2547.53,13,Grocery,Mastercard,0,28.66,0,3431.42,0,0
1773.5,16,Restaurant,RuPay,1,4.73,6,2604.26,0,0
2846.2,19,Grocery,Visa,0,,2,3491.25,0,0
7806.31,20,Entertainment,,0,206.76,10,644.45,2,1
4830.39,19,Retail,RuPay,0,20.74,1,928.29,0,0
5520.7,12,Online,Mastercard,0,3.55,1,4123.08,0,0
4275.42,18,Electronics,Mastercard,0,6.11,2,933.34,1,0
,7,Healthcare,Mastercard,1,19.78,2,2443.16,0,0
592.2,19,Grocery,RuPay,0,4.36,4,1366.68,0,0
,15,Retail,Visa,1,4.15,1,,0,0
2285.55,14,Utilities,Mastercard,0,5.44,4,2787.54,0,0
5000,2,Travel,RuPay,1,57.64,7,5507.43,2,1
4085.24,13,Entertainment,RuPay,1,10.74,3,1048.57,1,0
1420.61,15,Grocery,Visa,1,35.52,3,2435.07,1,0
5257.22,13,Entertainment,Visa,1,8.99,2,977.09,0,0
3122.39,11,Online,Amex,1,9.76,0,1689.55,0,0
2790.73,9,Restaurant,Amex,1,23.45,2,1011.1,0,0
2024.91,6,Restaurant,Visa,1,6.93,3,937.73,0,0
913.88,11,Grocery,Visa,0,16.93,3,1095.16,0,0
11335.34,23,Travel,Mastercard,0,142.44,15,1968.97,3,1
1943.68,14,Grocery,Amex,1,5.94,1,4150.39,0,0
4200.34,15,Retail,Visa,0,1.02,5,2870.82,0,0
3193.37,16,Healthcare,RuPay,1,6.37,0,946.96,0,0
2598.82,12,Online,RuPay,1,22.02,1,1600.33,0,0
206.65,12,Healthcare,Visa,1,,2,820.83,0,0
5000,22,Online,Amex,0,94.84,6,1009.28,4,1
4761.97,11,Healthcare,Mastercard,1,3.16,5,3146.62,0,0
739.76,16,Online,Mastercard,1,39.31,2,6186.82,1,0
4413.45,18,Online,Mastercard,1,4.36,3,3360.3,0,0
794.42,21,Healthcare,Visa,1,19.57,1,4162.52,1,0
1734.06,20,Restaurant,Visa,1,17.58,4,522.16,0,0
896.65,13,Restaurant,Amex,0,3.65,2,1600.7,0,0
2943.14,13,Grocery,RuPay,1,31.4,2,1325.32,0,0
6837.33,22,Online,Visa,1,10.77,3,1328.9,0,0
1289.82,6,Electronics,Visa,1,17.68,3,3228.28,0,0
1767.27,19,Entertainment,RuPay,0,33.39,0,500.65,0,0
2353.39,17,Entertainment,Visa,1,16.34,5,799.46,0,0
532.68,16,Retail,Mastercard,0,10.22,3,2306.6,0,0
13469.97,7,Entertainment,Amex,0,32.91,11,1198.27,4,1
29225.81,12,Electronics,Amex,0,217.02,5,1585.12,2,1
739.21,8,Restaurant,Visa,1,3.39,1,582.58,0,0
1336.14,8,Retail,Mastercard,0,13,5,1169.02,0,0
5040.93,5,Healthcare,Visa,0,6.33,1,3027.35,0,0
2788.61,7,Restaurant,Mastercard,1,0.46,4,3218.21,0,0
3234.89,8,Restaurant,Visa,1,12.32,5,1844.28,1,0
7505.54,19,Healthcare,Visa,1,5.9,0,813.77,1,0
2545.68,20,Grocery,Visa,1,5.61,2,2916.29,0,0
793.68,15,Entertainment,,1,5.86,2,782.37,0,0
2699.34,8,Entertainment,Visa,1,11.78,1,2015.92,1,0
2514.15,16,Restaurant,Mastercard,0,35.02,3,1443.26,0,0
817.55,8,Gas,Mastercard,1,12.43,4,2500.44,1,0
670.86,11,Entertainment,Visa,1,48.75,2,518.05,0,0
2491.37,10,Online,Amex,1,18.96,0,1887.87,0,0
1756.56,22,Travel,Visa,0,4.22,2,1210.98,1,0
7520.1,16,Electronics,Visa,1,7.68,4,2313.05,1,0
2995.64,18,Grocery,Mastercard,1,16.16,6,3077.9,1,0
7733.21,7,Grocery,Mastercard,0,40.49,2,1645.23,0,0
5646.25,12,Travel,Amex,1,9.61,0,500,0,0
3009.32,12,Restaurant,Visa,1,1.56,2,2446.09,0,0
5067.72,12,Grocery,RuPay,1,1.89,5,5064.47,0,0
2543.37,16,Restaurant,Visa,0,40.75,1,4882.89,0,0
417.57,17,Electronics,RuPay,1,46.99,2,1117.75,0,0
11046.22,11,Online,Mastercard,0,3.07,6,2480.14,1,0
2669.58,16,Retail,RuPay,1,16.62,3,744.39,1,0
2021.28,18,Travel,RuPay,1,22.23,0,1955.74,0,0
2763.21,11,Restaurant,Mastercard,1,14.37,2,3440.39,1,0
1536.64,10,Online,Mastercard,1,19.54,0,2167.55,0,0
2973.16,10,Healthcare,Visa,0,2.44,1,1603.02,0,0
3595.52,8,Gas,Mastercard,0,1.72,2,678.83,0,0
200,9,Grocery,Mastercard,1,38.64,6,1185.91,1,0
6008.66,4,Online,RuPay,1,40.53,4,500,2,0
1091.62,10,Retail,Mastercard,0,2.23,4,3426.54,0,0
2349.64,0,Restaurant,Mastercard,1,6.14,3,2005.19,0,0
9477.64,18,Entertainment,RuPay,1,1.07,1,809.34,0,0
1740.92,20,Travel,Mastercard,1,12.12,7,1031.13,0,0
436.88,16,Retail,RuPay,1,2.86,1,4871.68,0,0
2033.95,22,Healthcare,RuPay,1,28.68,2,1006.74,0,0
931.28,9,Online,Visa,1,8.2,4,2269.59,0,0
1946.84,10,Grocery,Visa,1,34.68,2,3195.19,0,0
2226.27,6,Online,Mastercard,1,0.47,2,2350.61,0,0
399.89,12,Entertainment,Mastercard,1,11.63,2,577.71,0,0
1162.85,7,Gas,RuPay,1,6.56,3,1539.14,1,0
2644.6,9,Retail,RuPay,1,23.22,1,5039.46,3,0
1331.13,15,Online,Mastercard,1,27.09,3,1594.82,1,0
996.93,18,Online,Amex,0,5.36,3,4837.7,0,0
1016.81,15,Online,Visa,1,19.25,5,2698.07,0,0
1570.28,21,Retail,Visa,1,3.96,2,576.8,0,0
4380.88,8,Restaurant,RuPay,1,13.51,6,2587.59,0,0
1548.48,9,Grocery,Visa,1,6.54,0,1472.51,1,0
6613.13,16,Gas,Visa,1,42.26,2,4549.76,0,0
2980.56,10,Restaurant,Visa,1,35.72,4,1221.87,0,0
4156.74,13,Retail,Amex,1,5.39,7,3374.75,0,0
2416.64,7,Travel,Mastercard,1,48.15,2,2033.8,0,0
5121.46,16,Healthcare,Visa,0,14.46,2,1604.83,0,0
1055.89,12,Entertainment,Mastercard,0,3.13,3,961.14,0,0
13484.55,0,Restaurant,Mastercard,0,33.26,1,1274.55,0,0
1312.7,18,Healthcare,RuPay,1,53.55,5,2477.44,0,0
415.86,14,Online,Amex,1,,2,3205.84,0,0
1283.63,16,Healthcare,Mastercard,1,29.56,3,1132.73,0,0
14882.69,18,Restaurant,RuPay,1,1.96,3,1647.94,1,0
2924.18,19,Restaurant,Mastercard,1,14.04,3,544.48,0,0
4077.16,17,Online,Amex,1,2.6,1,2494.52,1,0
3126.04,11,Restaurant,Mastercard,1,9.49,2,1783.74,1,0
8765.88,16,Online,Mastercard,0,272.37,7,1046.09,1,1
1415.45,15,Travel,Mastercard,0,30.3,2,2535.84,0,0
3167.27,11,Grocery,Amex,1,15.61,1,6150.98,0,0
4333.28,10,Retail,Amex,0,12.99,2,5999.1,0,0
5644.4,13,Grocery,RuPay,1,4.5,1,500,0,0
11453.65,21,Restaurant,Visa,1,22.44,2,502.42,0,0
2942.78,12,Grocery,Mastercard,1,11.02,3,1841.53,0,0
4024.96,6,Travel,Mastercard,1,11,6,4481.41,1,0
1699.29,22,Grocery,Visa,1,8.56,3,500,0,0
2608.82,14,Gas,Mastercard,1,38.1,3,4024.62,0,0
1957.09,10,Restaurant,Visa,1,19.15,3,693.96,0,0
4086.8,12,Restaurant,Visa,1,23.69,1,2983.78,0,0
4205.42,3,Online,Visa,1,0.87,1,1247.19,0,0
3807.87,5,Online,Visa,0,4.63,3,1514.87,0,0
1589.38,7,Utilities,Visa,1,37.89,1,2118.2,,0
4659.36,9,Restaurant,Mastercard,1,6.98,5,3154.9,0,0
14591.87,1,Online,Visa,1,109,14,500,3,1
2579.29,9,Online,Visa,1,23.37,2,3578.55,0,0
1191.77,10,Electronics,Visa,1,0.39,2,1870.51,0,0
1795.82,4,Grocery,RuPay,1,8.96,2,1097.23,1,0
1213.95,6,Restaurant,Visa,1,22.02,3,3203.1,1,0
11250.44,11,Restaurant,Amex,1,18.38,2,3435.87,0,0
1502.45,15,Electronics,Mastercard,1,9.46,3,2871.66,0,0
10922.94,13,Gas,Visa,0,49.76,9,1888.02,0,1
6143.49,12,Utilities,RuPay,1,26.36,3,1915.84,0,0
7279.51,1,Electronics,Amex,0,1.97,8,500,2,1
2533.39,8,Electronics,Visa,1,14.17,3,1240.19,0,0
5327.35,17,Electronics,Mastercard,1,15.55,4,3480.52,1,0
10702.89,18,Gas,Visa,1,40.21,8,1133.59,0,0
2016.01,9,Grocery,Mastercard,0,13.6,2,4051.32,0,0
2158.77,13,Healthcare,Mastercard,0,0.7,4,4694.06,1,0
5553.62,13,Online,Mastercard,1,13.71,6,1308.33,0,0
1465.79,13,Online,Amex,1,23.94,1,2942.84,0,0
5000,20,Retail,RuPay,1,145.25,4,,5,1
1333.55,16,Gas,Amex,1,72.16,2,910.18,0,0
594.08,21,Grocery,Mastercard,1,8.72,3,4518.26,0,0
8109.87,20,Gas,RuPay,0,,11,557.98,4,1
2625.3,5,Restaurant,Visa,1,13.5,3,909.25,0,0
2381.55,21,Travel,Mastercard,1,8.02,2,1049.84,0,0
5000,5,Electronics,RuPay,1,116.46,6,1883.98,1,1
698.7,19,Gas,Visa,0,21.27,3,2087.38,2,0
2761.96,6,Grocery,Visa,1,5.69,2,549.76,0,0
2533.75,5,Retail,RuPay,1,39.25,3,3028.91,0,0
2757.02,9,Healthcare,Mastercard,1,0.68,4,1244.79,0,0
5917.24,11,Electronics,Mastercard,1,28.27,8,1931.31,1,0
5404.56,2,Healthcare,Visa,1,29.64,14,2083.65,4,1
6467.81,12,Gas,RuPay,1,23.22,0,608.11,0,0
3918.01,7,Gas,Amex,0,0.3,1,3560.51,0,0
596.07,9,Online,Visa,1,16.99,6,1443.44,0,0
4224.89,12,Restaurant,Visa,0,11.88,2,2085.85,0,0
3023.02,13,Online,Visa,1,21.85,3,3059.01,2,0
7280.97,13,Utilities,Mastercard,1,11.53,1,1781.9,0,0
7189.71,2,Utilities,RuPay,1,8.86,3,1616.9,0,0
1394.94,7,Grocery,,1,24.26,5,2635.78,1,0
1679.89,16,Entertainment,Mastercard,1,6.02,2,1310.55,0,0
1667.87,14,Online,RuPay,1,7,4,1760.36,1,0
7901.57,4,Travel,,1,17.5,2,871.52,0,0
6368.88,11,Electronics,Mastercard,1,3.61,6,2381.57,0,0
2323.46,12,Entertainment,Visa,1,3.62,5,2242.5,0,0
3628.23,20,Travel,Mastercard,1,18.21,5,3917.79,1,0
8937.96,12,Grocery,Mastercard,1,17.94,1,665.51,1,0
10371.59,3,Healthcare,Visa,1,9.1,3,1468.93,0,0
6816.8,0,Grocery,Mastercard,1,8.55,2,650.56,1,0
5733.77,13,Online,Mastercard,0,6.61,4,5917.12,0,0
11635.06,19,Electronics,Mastercard,1,48.88,10,2581.8,3,1
1571.46,16,Healthcare,Mastercard,1,,6,1603.21,0,0
2616.57,11,Restaurant,Visa,1,6.27,1,787.78,2,0
15460.32,15,Grocery,Visa,1,5.85,1,2606.82,0,0
5404.61,14,Travel,Visa,1,16.82,1,1521.99,0,0
